,IMDb_ID,Title,Movie Series,Order,Genres,Year,IMDb Rating,Num Votes
0,tt0115433,101 Dalmatians,101 Dalmatians,1,"Adventure, Comedy, Crime, Family",1996,5.7,98439.0
1,tt0211181,102 Dalmatians,101 Dalmatians,2,"Adventure, Comedy, Family",2000,4.9,33823.0
2,tt1160368,12 Rounds,12 Rounds,1,"Action, Crime, Thriller",2009,5.6,26828.0
3,tt2317524,12 Rounds 2: Reloaded,12 Rounds,2,"Action, Adventure, Thriller",2013,5.3,5141.0
4,tt1232829,21 Jump Street,21 Jump Street,1,"Action, Comedy, Crime",2012,7.2,498876.0
5,tt2294449,22 Jump Street,21 Jump Street,2,"Action, Comedy, Crime",2014,7.0,336672.0
6,tt0289043,28 Days Later...,28 Days Later...,1,"Drama, Horror, Sci-Fi, Thriller",2002,7.6,366735.0
7,tt0463854,28 Weeks Later,28 Days Later...,2,"Horror, Sci-Fi",2007,7.0,253260.0
9,tt0083511,48 Hrs.,48 Hrs.,1,"Action, Comedy, Crime, Drama, Thriller",1982,6.9,66889.0
10,tt0099044,Another 48 Hrs.,48 Hrs.,2,"Action, Comedy, Crime, Drama, Mystery, Thriller",1990,5.9,37294.0
12,tt1753383,A Dog's Purpose,A Dog's Purpose,1,"Adventure, Comedy, Drama, Family, Fantasy",2017,7.2,62603.0
13,tt8385474,A Dog's Journey,A Dog's Purpose,2,"Adventure, Comedy, Drama, Family, Fantasy",2019,7.5,15850.0
15,tt2243537,A Haunted House,A Haunted House,1,"Comedy, Fantasy",2013,5.0,42526.0
16,tt2828996,A Haunted House 2,A Haunted House,2,"Comedy, Fantasy",2014,4.7,19178.0
17,tt0087800,A Nightmare on Elm Street,A Nightmare on Elm Street,1,Horror,1984,7.5,198163.0
18,tt0089686,A Nightmare on Elm Street Part 2: Freddy's Revenge,A Nightmare on Elm Street,2,Horror,1985,5.5,59000.0
19,tt0093629,A Nightmare on Elm Street 3: Dream Warriors,A Nightmare on Elm Street,3,"Fantasy, Horror",1987,6.6,67906.0
20,tt0095742,A Nightmare on Elm Street 4: The Dream Master,A Nightmare on Elm Street,4,Horror,1988,5.7,48140.0
21,tt0097981,A Nightmare on Elm Street: The Dream Child,A Nightmare on Elm Street,5,"Fantasy, Horror",1989,5.2,39327.0
22,tt1179056,A Nightmare on Elm Street,A Nightmare on Elm Street,6,"Crime, Drama, Horror, Mystery",2010,5.2,90163.0
23,tt0370263,AVP: Alien vs. Predator,AVP,1,"Action, Adventure, Horror, Sci-Fi, Thriller",2004,5.6,180689.0
24,tt0758730,AVPR: Aliens vs Predator - Requiem,AVP,2,"Action, Horror, Sci-Fi, Thriller",2007,4.7,113544.0
25,tt0109040,Ace Ventura: Pet Detective,Ace Ventura,1,Comedy,1994,6.9,270045.0
26,tt0112281,Ace Ventura: When Nature Calls,Ace Ventura,2,"Adventure, Comedy, Crime",1995,6.4,197557.0
28,tt0313911,Agent Cody Banks,Agent Cody Banks,1,"Action, Adventure, Comedy, Crime, Family, Romance, Thriller",2003,5.0,32212.0
29,tt0358349,Agent Cody Banks 2: Destination London,Agent Cody Banks,2,"Action, Adventure, Comedy, Family, Romance, Sci-Fi",2004,4.6,13722.0
30,tt1014759,Alice in Wonderland,Alice in Wonderland,1,"Adventure, Family, Fantasy",2010,6.4,374321.0
31,tt2567026,Alice Through the Looking Glass,Alice in Wonderland,2,"Adventure, Family, Fantasy",2016,6.2,88197.0
32,tt0078748,Alien,Alien,1,"Horror, Sci-Fi",1979,8.4,760584.0
